ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
09,002,0001,090020003633,2,09-002-0001-00,00075,23,02,09002000363301,01,1,1,40,01,2016,0101,009,221,1,,,,,,5
09,002,0001,090020003689,2,09-002-0001-00,00075,23,02,09002000368901,01,1,3,15,99,9999,9999,999,999,9,,,,,,5
09,002,0001,090020003769,2,09-002-0001-00,00077,23,01,09002000376901,01,1,3,24,10,2017,0501,009,221,1,,,,,,5
09,002,0001,090020003867,2,09-002-0001-00,00080,24,04,09002000386701,01,1,1,24,07,2017,0101,009,221,3,12,2017,0801,1,03,5
09,002,0001,090020003876,2,09-002-0001-00,00080,24,04,09002000387601,01,1,1,24,05,2015,0409,009,439,2,,,,,,5
09,002,0001,090020003896,2,09-002-0001-00,00081,24,01,09002000389601,01,1,3,31,01,2016,0401,014,221,1,,,,,,5
09,002,0001,090020003900,2,09-002-0001-00,00081,24,01,09002000390001,01,1,1,33,04,2019,0501,009,415,3,12,2019,0301,3,,5
09,002,0001,090020003900,2,09-002-0001-00,00081,24,01,09002000390002,02,1,3,30,03,2019,0501,009,415,2,,,,,,5
09,002,0001,090020004030,2,09-002-0001-00,00083,22,04,09002000403001,01,1,3,29,07,2017,0101,009,213,2,,,,,,5
09,002,0001,090020004037,2,09-002-0001-00,00083,22,01,09002000403701,01,1,3,14,10,2016,0501,009,442,2,,,,,,5
09,002,0001,090020004139,2,09-002-0001-00,00086,24,02,09002000413901,01,1,1,22,06,2019,0101,009,221,3,12,2019,0301,1,03,5
09,002,0001,090020004304,2,09-002-0001-00,00092,25,02,09002000430401,01,1,3,18,10,2015,0501,009,221,1,,,,,,5
09,002,0001,090020004363,2,09-002-0001-00,00094,24,04,09002000436301,01,1,3,34,10,2019,9999,999,999,9,,,,,,5
09,002,0001,090020004399,2,09-002-0001-00,00094,24,04,09002000439901,01,1,3,31,01,2020,0101,009,221,1,,,,,,5
09,002,0001,090020004417,2,09-002-0001-00,00095,41,04,09002000441701,01,1,3,28,10,2018,0501,009,415,3,07,2019,0502,1,02,5
09,002,0001,090020004683,2,09-002-0001-00,00100,25,04,09002000468301,01,1,1,9,07,2019,9999,009,250,2,,,,,,5
09,002,0001,090020004813,2,09-002-0001-00,00107,23,04,09002000481301,01,1,1,25,12,2018,0101,009,221,3,02,2019,0301,1,02,5
09,002,0001,090020004947,2,09-002-0001-00,00113,24,04,09002000494701,01,1,1,24,06,2015,0102,009,221,3,12,2015,0301,1,01,5
09,002,0001,090020005016,2,09-002-0001-00,00116,24,04,09002000501601,01,1,1,50,02,2018,0101,009,221,1,,,,,,5
09,002,0001,090020005129,2,09-002-0001-00,00124,24,04,09002000512901,01,1,3,23,07,2016,0102,009,214,3,10,2016,0103,3,,5
